"name","totalRevenue","averageRevenue","medianRevenue","class","inHouse","numberOfGames","genres","Action","Free to Play","Strategy","Casual","Indie","Simulation","Adventure","Massively Multiplayer","Sports","RPG","Racing","Early Access"
"Valve","9623896925.225668","310448287.9105054","3855522","AAA","27","31","[object Object]","26","6","3","3","1","1","4","","","","",""
"KRAFTON, Inc.","4195070339.2800727","1048767584.8200182","2005120","AAA","2","4","[object Object]","4","1","1","","","1","2","1","","","",""
"Electronic Arts","3043224030.8390923","24345792.246712737","1817601","AAA","1","125","[object Object]","69","4","34","20","7","22","36","2","17","24","17",""
"Ubisoft","1917868443.5520585","15101326.327181563","1550478","AAA","20","127","[object Object]","76","5","18","12","6","14","50","3","6","18","14",""
"Bethesda Softworks","1794585091.132033","29419427.72347595","5077728","AAA","4","61","[object Object]","43","5","1","1","","1","8","2","","20","",""
"SEGA","1482365488.5760887","8144865.321846641","1024376","AAA","53","182","[object Object]","93","2","60","15","12","13","41","1","9","30","7",""
"Xbox Game Studios","1375988405.6907318","25962045.390391164","6715232","AAA","0","53","[object Object]","29","3","11","4","4","10","20","","1","8","4",""
"Activision","1322005865.263874","21322675.246191517","979254","AAA","4","62","[object Object]","36","1","6","2","","5","19","","2","4","",""
"Rockstar Games","1205570421","75348151.3125","4054706","AAA","6","16","[object Object]","15","","1","","","","10","","","","",""
"Paradox Interactive","1165729473.9644945","15968896.903623212","783976","AAA","0","73","[object Object]","6","1","60","2","13","26","11","","3","21","1",""
"2K","1036771151.6084254","14602410.58603416","1161162","AAA","0","71","[object Object]","27","","33","5","3","8","10","","10","15","1",""
"Feral Interactive (Mac)","1017412579.5078278","27497637.283995345","8956695","AAA","0","37","[object Object]","22","","20","","","2","12","","","3","1",""
"Larian Studios","1013998235","126749779.375","1160533","AAA","8","8","[object Object]","1","","5","","2","","4","","","8","",""
"CAPCOM Co., Ltd.","953679150.314704","24453311.54653087","6397924.267991651","AAA","39","39","[object Object]","32","3","","","","","15","","","6","",""
"CD PROJEKT RED","931632804.0956753","103514756.0106306","8912532","AAA","8","9","[object Object]","2","1","3","","1","","3","","","6","",""
"Bandai Namco Entertainment","930311043.0530143","37212441.72212057","5714134","AAA","0","25","[object Object]","21","1","1","7","","4","7","2","","10","",""
"Feral Interactive (Linux)","882567228.3969753","36773634.51654064","16834732","AAA","0","24","[object Object]","10","","18","","","1","4","","","1","",""
"Square Enix","841691494.7421038","6474549.959554644","914945","AA","79","130","[object Object]","60","3","13","7","3","6","36","3","","79","1",""
"PlayStation PC LLC","775419700.8884028","48463731.305525176","16384093","AAA","0","16","[object Object]","13","1","1","3","1","","10","","","3","",""
"Bungie","735853519.4045082","735853519.4045082","735853519.4045082","AAA","1","1","[object Object]","1","1","","","","","1","","","","",""
"Aspyr (Mac)","729345350.657019","60778779.221418254","26592066","AAA","0","12","[object Object]","4","","8","1","","5","4","","","2","",""
"Digital Extremes","631273300.2280499","315636650.11402494","10680322","AAA","1","2","[object Object]","2","1","","1","","","1","1","","2","","1"
"Warner Bros. Games","569793840.9766049","43830295.45973884","32704646","AAA","0","13","[object Object]","12","1","","","","","4","","","2","",""
"Amazon Games","530557385.54775566","265278692.77387783","145357983","AAA","1","2","[object Object]","2","1","","","","","2","2","","2","",""
"FromSoftware Inc.","497440055","248720027.5","56716144","AA","2","2","[object Object]","2","","","","","","","","","1","",""
"Aspyr (Linux)","492110948.6084254","82018491.43473756","63705071","AA","0","6","[object Object]","3","","3","","","","","","","2","",""
"Gearbox Publishing","435633582.78794533","16755137.799536359","5357620","AA","0","26","[object Object]","19","3","1","2","13","1","15","3","","11","","1"
"Pocketpair","416436038","104109009.5","1105203","AA","4","4","[object Object]","3","","1","2","3","1","3","","","3","","3"
"Behaviour Interactive Inc.","415831865.975703","83166373.1951406","1188419","AA","3","5","[object Object]","3","","1","1","1","","1","1","","","",""
"BANDAI NAMCO Entertainment","396876789.4268747","6201199.834794917","2123616","AA","0","64","[object Object]","46","","3","6","4","2","16","","3","18","3",""
"Coffee Stain Publishing","394531515","30348578.076923076","3219582","AA","0","13","[object Object]","6","","5","6","9","3","5","","","2","","4"
"Bohemia Interactive","383602901.2893145","15344116.05157258","118575.28931449687","AA","15","25","[object Object]","12","1","11","3","7","8","7","1","","","","1"
"Focus Entertainment","383262845.49383914","5807012.810512714","1984138","AA","2","66","[object Object]","31","","12","4","16","12","29","1","2","24","1","1"
"KONAMI","381194210.22533804","10891263.149295373","653056","AA","20","35","[object Object]","27","3","3","6","3","5","13","1","3","3","1",""
"Gaijin Network Ltd","375446278.491783","62574379.7486305","331786.20875148504","AA","0","6","[object Object]","6","5","","","","2","2","6","","1","1","1"
"Devolver Digital","374388867","3146124.932773109","561685","AA","0","119","[object Object]","84","4","14","20","103","13","61","2","5","11","2","2"
"Facepunch Studios","367222684.5372333","122407561.5124111","464804","AA","3","3","[object Object]","2","","1","","3","","1","1","","1","",""
"SCS Software","357454666.16959065","59575777.694931775","304776","AA","6","6","[object Object]","","","","","6","6","","","","","",""
"Snail Games USA","314745064.4076949","34971673.82307721","7583715","AA","4","9","[object Object]","8","","2","1","4","3","8","8","","7","","4"
"Wargaming Group Limited","314268060.1168611","78567015.02921528","32576572.50118708","AA","4","4","[object Object]","4","4","","","","3","","4","","","",""
"Techland","307057559","61411511.8","703379","AA","4","5","[object Object]","3","","","","1","","2","","","3","2",""
"Team17","303434186.384502","7224623.485345285","1018455","AA","4","42","[object Object]","23","1","14","10","33","14","21","1","1","12","","3"
"Warner Bros. Interactive Entertainment","293081536.5653429","8881258.68379827","2993522","AA","0","33","[object Object]","27","","2","3","","","23","","","","",""
"Frontier Developments","288051203.25592417","28805120.325592417","5940261","AA","10","10","[object Object]","3","","8","2","","7","4","1","","1","",""
"THQ Nordic","276146829.96938777","1747764.7466416948","176337","AA","2","158","[object Object]","77","1","47","5","15","31","44","","14","51","14",""
"Studio Wildcard","275951559","91983853","47368989","AA","3","3","[object Object]","3","","1","","3","","3","3","","3","","1"
"KOEI TECMO GAMES CO., LTD.","266073250.98785764","2687608.595836946","641721","AA","97","99","[object Object]","30","","35","2","","10","9","","","32","",""
"NetEase Games Global","260636530.09343472","260636530.09343472","260636530.09343472","AA","0","1","[object Object]","1","","","","","","1","1","","","",""
"PlayWay S.A.","225740486.31279185","1624032.275631596","54966","AA","1","139","[object Object]","52","14","33","67","109","132","51","1","5","11","13","12"
"Hello Games","222810552","55702638","37321","AA","4","4","[object Object]","3","","","2","3","","2","","","","2",""